Sample_Name,ANXA3,AQP9,ARG1,ASAH1,ATG3,AZU1,BCAT1,BCL2L11,BCL6,BMPR2,BPGM,BTK,BTN2A2,BTN3A2,BUB3,CAMK4,CAMP,CASP1,CASP8,CCNB1IP1,CD3E,CD3G,CEACAM8,CEP55,CREB1,CRISP2,CTNNB1,CTSG,DBT,DEFA4,DYRK2,EP300,FAS,GADD45A,GK,GNAI3,HMMR,HTRA1,ICAM3,INPP5D,ITGAV,JAK1,JAK2,KIF15,KLHL2,KLRB1,LCN2,LTF,MAFB,MAP3K1,MAP3K3,MAP4K1,MAPK14,MME,NCR3,OLFM4,ORM1,PAK2,PDE4B,PIK3CD,PIK3R1,PLCG1,PLEKHO1,POU2F2,PPP1R12A,PPP2R5C,PRC1,PRKAR1A,PTEN,RAF1,RHBDF2,SEMA4F,SEMA6B,SIDT1,SLC1A5,SLPI,SMAD4,SMYD2,SOS 2,SP1,STOM,STX1A,TBK1,TLE4,TLR1,TP53BP1,TRIB2,TXN,TYK2,VAMP5,VRK2,ZAP70,ZDHHC17
VN72,13.20206756,2.174634525,14.92258974,-5.658917743,-1179.782911,-3.20599186,5.113543765,-219.83365,-18.38040545,-10.48001577,-25.14289604,-6.622990189,-307.0593935,-353.9566694,-403.58618,-37.97501056,36.91516369,-562.4752836,-28.06075611,-500.8682793,-28.08068214,-13.28111078,44.52757885,124.6742422,-40.86311483,21.1623395,-45.6435984,-1.476197669,-80.03028154,13.51738763,-307.4869747,-40.51289128,-0.050752169,30.7601829,-109.197518,-63.79376778,-8.279058026,-80.25157275,-92.15884222,-137.0789583,-137.7711293,-94.86392869,-177.5879683,-329.2159819,-186.5664376,-90.92078783,104.4586737,164.9081157,-235.7622266,-159.8194914,-83.77940336,-393.3427933,-18.73511525,-187.7470489,-814.5451957,348.5089429,-19.07785617,-91.51881276,-215.4540319,-114.5116996,-253.7780898,-241.9189811,-194.0416801,-242.6767961,-132.2144667,-126.4430336,-3.845923212,-85.11590737,-131.8398664,-199.2148234,-193.5365201,-590.4564584,42.14202134,-1311.426148,-32.37393734,30.49082992,-173.0267037,-395.1260401,-115.8537746,-127.2131317,62.58919216,-45.54571657,-497.0822772,-255.8343622,-125.6288697,-468.0743222,-910.2868791,-180.9091866,-155.9812265,-194.1146612,-124.9797725,-341.0029002,-518.8838609
VN73,16.67171498,8.756585565,11.04273224,-11.17224999,-858.3652316,-18.26503623,-3.748165573,-324.9190469,3.834392037,-17.63219114,-27.1710561,13.92620345,-164.9820875,-342.2228431,-252.9444614,-15.51292817,19.56234521,-31.06992312,2.814083221,-802.8714216,-41.39307955,-44.83024294,12.62154856,-330.5339562,-30.08963031,-15.43378224,-34.40608392,-74.62060407,-72.41002351,-93.31339207,-414.2135421,-0.315747007,4.250701281,59.03937272,82.62527302,-6.203237765,-95.59554046,-285.4638014,-72.92551241,-6.949633693,-206.4745514,67.1465833,32.97793146,-633.2286953,16.64710437,-218.4445083,94.82374672,95.70321879,-78.46462091,-53.39567862,22.39704044,-457.3016409,16.56466358,-189.2744416,-751.8294986,337.7475533,-0.838898914,-9.73173081,-117.316078,92.02943212,-175.3159361,-290.9940632,-495.6390308,-257.9906077,-36.89795222,-7.158034919,-73.87497602,99.19012276,66.60077934,-34.69999015,217.3188972,-342.9078016,61.86044637,-1249.105786,-273.4492194,127.7553727,-11.71018641,-303.3378873,119.5316733,39.04010264,55.95716057,-152.4286842,-48.68296247,-35.00093118,35.170289,79.61621872,-879.9352112,30.55165295,-82.66783022,-131.5792123,-13.0905644,-515.9896067,-98.1356497
VN74,6.94292605,8.402614526,-5.823097479,-16.14232145,-1258.644937,1.013618668,-0.355640687,-157.1603939,-24.15314747,-14.09084582,-6.160514408,-11.74521307,-503.5472027,13.71688352,-350.0048695,-5.793869941,-22.51891179,-0.767228193,-40.71952863,-1024.590693,-41.31565724,-17.95539389,-24.63599163,391.6073288,0.895812039,-66.62430462,-40.43187369,11.40039057,-61.41324588,14.30277386,-200.5032395,-101.1908365,1.335160152,-38.49353234,65.30878352,-80.45502,-0.35343728,-271.2333016,-137.5870477,-224.1618114,-154.553657,-220.5210982,-68.30876155,-616.2167022,-324.9377408,-227.0328902,34.40561086,-4.4436239,-98.39424292,-201.997628,-184.2190208,-494.5990631,-47.58809355,-277.6188872,-1458.985094,-15.76478058,-314.6222653,-160.6835415,-54.83746764,-325.9218829,-211.7027877,-270.0873886,-323.5032669,-138.785673,-175.1865538,-251.1201176,-8.286360698,-87.27148473,-250.9335174,-433.2097749,69.61298556,-296.9927236,370.8452726,-1536.741174,3.868713776,-163.7992654,-245.9587334,-213.81784,-233.8550282,-300.2500879,-14.00900374,-225.2085802,-306.3118883,-389.3412216,-151.3695852,-495.8332005,-1544.328571,-184.2037485,-337.7901628,424.4355463,-91.33370345,-494.0590702,-803.19732
VN75,2.670986089,8.802130942,5.808286922,-10.11161186,-1041.361894,4.027313209,-1.045128665,-237.8446321,-4.601450248,-12.78488025,-13.6913111,-6.670582571,49.2090371,264.8048673,-346.8583876,-10.47541716,-5.47073132,-201.9068099,-0.087053636,-691.5808605,-1.977159929,-3.450530914,-34.3987704,-2011.086584,-29.9845321,-274.3268922,-30.24205344,3.030046182,-81.74164407,19.40282921,-246.1213386,-60.45649216,-3.203210522,-6.564825903,-23.78552529,-46.13741364,-132.8302034,-44.86566544,46.3436789,-30.94757173,-121.9698956,42.56112985,-107.6403885,-342.016591,-141.1213732,32.33398365,-137.3264971,-129.7881809,79.08768244,-138.8347845,-0.823179651,-287.3679276,-22.43772736,-45.20765681,-902.9481208,-460.0722687,-181.2100752,-67.29343873,79.14210976,-17.07605685,-225.0263616,-280.8859053,148.3113829,-111.2365144,-118.3562846,-170.0785605,-368.9774372,-88.11995977,-33.3522171,3.434102242,-52.84842968,-558.3374708,71.88526064,-505.1523022,-24.02683386,84.97435829,-91.98112017,-379.9196101,11.35547502,-124.3498241,-16.19158035,-204.1483034,-275.0702783,-138.2492424,-141.083383,-106.4368576,-372.956133,-225.1051139,-43.68299327,-128.7745957,-232.9499191,-118.7254572,-259.6390559
VN76,12.62260837,9.583616973,18.05836876,0.225059567,-844.8942126,33.65922226,19.0072664,-425.6479646,16.45848861,-24.63930786,-36.65317467,-1.913474281,-195.5432247,-188.6157996,-246.2628715,-26.26112482,17.508703,-244.2327604,10.90853099,-421.1155967,-13.10122478,-1.147678935,29.7148296,-235.0913325,-25.10046671,-59.18307607,-27.71295223,84.41551256,-63.58782724,77.62222196,-159.9713542,21.80440718,3.326803737,15.19906114,-56.41782807,-16.18103656,-3.377311656,-178.0614634,46.26468718,37.94857511,-116.8972366,-39.6527322,-1.196387476,-215.6839676,-150.7682404,-116.8187729,-3.681594974,-51.83619904,-77.92338127,-27.60503871,-24.94826513,-164.3128721,-2.91232882,-105.4316788,-1441.258896,102.8673582,44.65944206,23.37525118,-105.8148797,117.6685192,-206.0754268,-224.790776,-642.2329306,-32.50890751,-61.76046446,-36.44833777,-77.74662753,-461.993725,-97.96550771,-1.539348047,-108.1057479,-223.2252759,-205.995738,-638.9070116,-139.7050536,84.23125387,-83.7217327,-544.2265351,111.6753252,-16.9754915,-20.24781145,11.74702925,-358.0279493,-107.3699592,39.70702513,-211.1163983,-459.5441015,-68.3581181,49.63731577,-242.2771195,-140.6555099,-190.6098591,-117.0257553
VN77,0.993917979,6.674885595,3.403280405,-7.396802162,-800.2309341,29.0131023,-2.276032039,-383.1659103,-14.14017936,-5.944807507,-25.18146304,-24.1156941,106.9050167,-122.9391112,-296.6547402,-29.27484602,59.40546505,-162.0259344,-6.148131377,90.43229611,32.76930836,4.136349107,41.01561475,-534.9355222,-40.94687112,180.8925774,-22.90926084,59.29479285,-70.60892934,87.31415895,-33.1505093,-63.66945757,-11.96732625,-59.78028644,-62.52021174,-61.5609596,-71.47447228,-214.6995664,37.8106068,-37.81979018,-100.7850604,113.8350296,-100.1206465,-250.2348616,-329.4854193,179.3737625,78.34357367,119.2892131,-190.1914161,-55.69475787,-80.58045714,-3.094425917,-49.90865127,-43.38073063,596.6260742,26.74980678,153.7358517,-142.0639881,136.8752162,-40.35025307,-219.9065981,-115.7102806,256.3227283,-84.984127,-115.9242881,-111.9362115,-1.986422248,-30.37945873,-201.1314583,-30.69002308,-760.7363425,-124.661568,-89.9660486,-150.3611636,-101.1496828,-37.70041675,-130.4762925,52.73170545,-78.55401561,-124.6326927,-55.66856362,-78.93108581,-344.9301944,-152.0269563,-118.0390558,47.81416375,403.4500526,-96.91193004,-27.29873255,-302.1030585,-198.1051469,30.60649229,-19.38229926
VN78,10.30837649,8.235021832,2.55597393,-0.551612066,-841.8238734,-17.27686917,0.837684538,-277.823228,16.08594504,-4.530787928,-13.3844672,-8.929119115,138.294273,162.4285878,-305.17881,-37.06509773,2.120627632,92.5733997,21.88882458,-437.5431873,1.121196572,19.79482602,-34.40773968,-205.560355,-18.87378771,-192.1219243,-16.77346062,-41.32346044,-23.48706959,-46.59876855,-27.54787541,46.20023699,0.308532746,-13.98927077,56.49098919,-15.19598601,-89.95948027,-73.32616897,-63.81852006,-150.7139812,-29.9874744,-9.177534479,4.355100883,-247.8258427,-110.7788454,94.32520354,-3.979180462,-79.29978036,-42.79001324,-80.74217822,-118.988422,-53.66641313,-15.31469354,-91.53373574,-199.3440122,-74.30647063,-52.62684156,-3.467061282,31.36854641,-103.3970529,-173.9872284,-240.4683476,35.16073775,-143.196795,-46.27934704,-101.6491819,-201.1093271,68.93476908,-91.60981091,-91.21550523,5.052695871,-502.5751911,-406.6565899,-817.6136646,-65.13035237,32.1509878,-3.351674406,-211.2145657,-134.1463867,-143.6509553,-35.32218197,-413.1789731,-124.3120013,-39.36902247,-17.79419543,-87.65689398,-116.9574423,-170.7353011,-75.83336594,134.6515027,-166.1696235,-146.8045254,-86.1629403
VN79,-13.26783129,-4.732499719,-1.488082769,-15.14341762,-1466.397766,40.19688023,-17.16764843,-131.5366947,-16.20511058,-7.679002807,-16.28431631,-30.25470805,-191.9290393,-61.68858332,-453.2879126,-0.877010578,41.52851246,-844.039056,-19.80073494,117.86737,-4.655305233,-37.38189983,23.79379841,-566.4957408,-23.01493273,-14.18264751,-54.39111831,81.1205269,-23.26726625,86.99037104,-191.5963233,-126.7285031,-13.65037669,-109.021255,-189.1350371,-224.1915566,-101.8419816,-357.682046,35.35684016,5.553346174,-143.7817734,-159.2286671,-337.2599575,-185.975656,-817.0290332,-75.14431658,8.758944342,35.49370271,-755.5236465,-223.5340361,-176.308572,301.6835473,-97.35290628,-31.91576422,1125.06603,-137.6779294,136.2541535,-293.9473713,-13.38466382,-244.1538009,-229.3711861,6.24499193,8.56122165,131.1930395,-378.2621558,-315.1862378,-51.41181146,-596.5547498,-456.6503271,-159.9385775,-642.7425174,138.5528582,442.6154565,-22.43800797,-2.183489713,-19.90110885,-278.6703981,-601.2032487,-148.1299377,-253.7925757,-94.90117477,-265.7537307,-725.121318,-467.6172817,-425.2220477,-179.1942074,-1155.472484,-488.2069426,-87.48022693,-323.7941631,-173.2046676,-198.4150383,-1035.147238
VN8,4.963494952,-2.604202874,10.93756424,-16.47275466,-1068.693379,29.11759248,-21.66223618,-352.5220862,-8.791888746,-16.23185809,-21.69872329,-23.26154645,-155.2936993,-603.036007,-153.4036052,14.13598999,-13.34047884,-743.6103027,-23.17447413,-172.5562579,16.80013335,-1.811108213,18.23970642,665.4931979,-39.85851979,-139.5006741,-66.72915988,63.56602961,-87.87347438,55.95465413,-277.7610391,-101.1223346,-4.96712646,2.532594427,-108.3703561,-142.2106873,63.14298102,-248.0700534,-127.4340881,-194.2603572,-117.9830091,-172.1406044,-179.4184227,108.2755455,-288.3115198,-164.244812,91.0637209,74.1589929,-205.029865,-206.6455529,-22.06292008,-0.097318882,-53.57314667,-80.17965252,-355.7518526,114.9509242,-71.54790047,-298.3846909,-331.2829358,-227.526952,-281.1026949,-161.2399852,77.52173615,-171.1572497,-186.2562934,-222.5717717,411.7066577,-186.1050861,-314.6191219,-353.2437703,-418.4418632,-653.3931103,294.77938,-551.0577795,63.68702424,-136.1736568,-321.268215,-530.1104868,-131.6815053,-361.3591104,15.85089687,59.40674825,-674.979881,-404.5480763,-188.7160293,-496.1554429,-539.5856096,-336.487219,-247.6847311,-222.4116456,-448.9782767,-66.45789754,-870.9290951
VN80,14.14716986,14.94060262,9.466570172,-5.480740581,-872.1266061,-12.74204121,5.150337993,-167.5865581,-2.921496764,-23.84023302,-18.05117816,10.54910533,-153.3344414,-8.662625381,-238.4588092,-12.79989906,5.034871775,37.86230601,3.475932065,-1049.622625,-50.57894353,-62.86140567,7.493963353,-155.5339832,-27.61101692,-100.8484091,-8.442703642,-22.2135138,-53.3952468,-33.09995355,-462.373106,-13.47765441,10.14317926,25.91289062,90.00492007,1.136151306,-87.66566347,-97.78555443,-63.64299287,-62.43418221,-169.4444133,-31.11046945,-9.064278342,-459.898767,-84.9762583,-274.7978331,109.1195997,94.72914085,-186.3809057,-75.73993028,-48.1268506,-599.6314958,21.48393246,-239.5336301,-962.2656793,256.4263463,110.2958976,-50.68829641,-28.30291339,-7.662865829,-202.9081724,-390.1458988,-512.4355931,-209.7916536,-68.53054479,-125.8751008,-163.3957321,-67.32576211,-48.64895407,-118.6311447,285.0964078,-368.338346,99.22677109,-1196.081562,-194.808247,-27.98835958,-68.08212838,-445.9303129,-38.72653839,24.52409733,15.61238825,-304.7015009,-129.3810339,-139.8382084,28.94653305,-32.43332913,-842.9313365,-27.17063946,-144.7825099,-84.62127732,-120.0111868,-417.5985927,-344.9224542
