Model,Resampler,Accuracy,Precision,Recall,F1 Score,AUC-ROC
SVM,ROS,0.3488372093023256,0.7142857142857143,0.3488372093023256,0.46875,0.8146867798030588
LDA,ROS,0.5348837209302325,0.5111111111111111,0.5348837209302325,0.5227272727272726,
Random Forest,ROS,0.3255813953488372,0.6086956521739131,0.3255813953488372,0.4242424242424242,0.7546616383825686
Voting Classifier,ROS,0.4186046511627907,0.6206896551724138,0.4186046511627907,0.5,
AdaBoost with PCA,ROS,0.6046511627906976,0.5777777777777777,0.6046511627906976,0.5909090909090908,0.7967735177037503
SVM with PCA,ROS,0.5813953488372093,0.6578947368421053,0.5813953488372093,0.6172839506172839,0.8066205740624346
LDA with PCA,ROS,0.6976744186046512,0.5882352941176471,0.6976744186046512,0.6382978723404256,
Random Forest with PCA,ROS,0.3488372093023256,0.6818181818181818,0.3488372093023256,0.4615384615384615,0.8003352189398701
Voting Classifier with PCA,ROS,0.627906976744186,0.6923076923076923,0.627906976744186,0.6585365853658537,0.8707311963125917
AdaBoost,SMOTE,0.5348837209302325,0.5476190476190477,0.5348837209302325,0.5411764705882354,0.7684894196522103
SVM,SMOTE,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.706892939451079
LDA,SMOTE,0.4883720930232558,0.2692307692307692,0.4883720930232558,0.347107438016529,
Random Forest,SMOTE,0.4186046511627907,0.6666666666666666,0.4186046511627907,0.5142857142857143,0.7455478734548502
Voting Classifier,SMOTE,0.5813953488372093,0.5102040816326531,0.5813953488372093,0.5434782608695652,
AdaBoost with PCA,SMOTE,0.6046511627906976,0.5531914893617021,0.6046511627906976,0.5777777777777778,0.7900691389063482
SVM with PCA,SMOTE,0.627906976744186,0.6428571428571429,0.627906976744186,0.6352941176470588,0.8114393463230672
LDA with PCA,SMOTE,0.6976744186046512,0.5660377358490566,0.6976744186046512,0.625,
